id;size;price;price_m2;location;address;street;number;address_geopy;lat;long;hhSize;hhF;hhM;title;link;timestamp;inactive-stamp;active
6516868;11;315.0;28.63636363636364;Paradies;Grießeggstraße, Konstanz;Grießeggstraße;;Grießeggstraße, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66312360000001;9.1608421;4.0;2.0;1.0;möbliertes Zimmer zur Zwischenmiete in gemütlicher WG im Paradies;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6516868.html;20190723-0650;20190805-2050;False
7107983;12;400.0;33.333333333333336;Petershausen-West;Markgrafenstraße, Konstanz;Markgrafenstraße;;Markgrafenstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67187929999999;9.174288;3.0;2.0;0.0;12qm WG Zimmer in bester Lage, befristet;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7107983.html;20190723-0650;20190728-1250;False
7418840;25;375.0;15.0;Dettingen;Waldstraße 7, Konstanz;Waldstraße;7;7, Waldstraße, Dettingen, Dettingen-Wallhausen, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78465, Deutschland;47.73145845;9.119638418924099;4.0;1.0;2.0;Großes Zimmer mit Balkon in gemütlicher 4er WG in ruhiger Lage;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Dettingen.7418840.html;20190723-0650;20190808-1250;False
7408921;8;304.0;38.0;Fürstenberg;Längerbohlstraße, Konstanz;Längerbohlstraße;;Längerbohlstraße, Fürstenberg, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6855693;9.158543;3.0;1.0;0.0;Gemütliches, möbliertes Zimmer in WG-Haus;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Konstanz.7408921.html;20190723-0650;20190803-1250;False
7444271;11;338.0;30.72727272727273;Petershausen-West;Alemannenstr. 11, Konstanz;Alemannenstr.;11;11, Alemannenstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.672214200000006;9.17281087346393;3.0;1.0;1.0;Süßes WG-Zimmer im Petershauser Park für 6 Monate oder ggf. unbefristet;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershauser-Park.7444271.html;20190723-0650;20190804-2050;False
6906567;17;491.0;28.882352941176467;Petershausen-West;Ebertplatz 4, Konstanz;Ebertplatz;4;Sol - Caffebar | Vegifood, 4, Ebertplatz, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.669875299999994;9.175982300000001;4.0;1.0;2.0;Zentrales & möbliertes 17qm Zimmer in netter 4er WG;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.6906567.html;20190723-0650;20190812-1650;False
7432613;20;550.0;27.5;Staad;Lindauerstr. 65, Konstanz;Lindauerstr.;65;65, Lindauer Straße, Staad, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.6752834;9.20742257570023;2.0;1.0;0.0;WG-Zimmer in 2er-WG mit Garten;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Staad.7432613.html;20190723-0650;;True
7438513;25;550.0;22.0;Industriegebiet;Max- Stromeyer- Straße, Konstanz;Max- Stromeyer- Straße;;Max-Stromeyer-Straße, Oberlohn, Konstanz-Industriegebiet, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6778915;9.155353100000001;4.0;2.0;1.0;Großes und zentrales WG-Zimmer mit eigenem Balkon;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7438513.html;20190723-0650;20190806-0850;False
6386183;25;550.0;22.0;Paradies;Gottlieberstr. 25, Konstanz;Gottlieberstr.;25;Paradies Kiosk, 25, Gottlieber Straße, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6621278;9.1670675;3.0;1.0;1.0;Großes, helles und zentrales WG-Zimmer im schönen Paradies;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6386183.html;20190723-0650;20190727-1650;False
7444379;26;400.0;15.384615384615385;Allmannsdorf;mainaustr. 190b, Konstanz;mainaustr.;190b;190b, Mainaustraße, Allmannsdorf, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.6855079;9.1988963401924;2.0;1.0;0.0;Zimmer in einer schönen Zweizimmerwohnung;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Allmannsdorf.7444379.html;20190723-0650;;True
